mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__random_state,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
4.887363433837891,0.029691457748413086,0.012274026870727539,3.409385681152344e-05,0.6,1,155,15,6,10,0.1,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 155, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.1}",0.57,0.66,0.615,0.04500000000000004,15,0.6298342541436465,0.7135135135135134,0.67167388382858,0.04183962968493349,13,0.7037037037037037,0.7764705882352941,0.7400871459694989,0.03638344226579521,132,0.5551936492457767,0.6534561026587667,0.6043248759522717,0.04913122670649501,16
4.1705756187438965,0.023285388946533203,0.010901927947998047,0.0002980232238769531,0.8,1,105,15,6,10,0.3,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 105, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.3}",0.62,0.62,0.62,0.0,11,0.6666666666666666,0.6526315789473685,0.6596491228070176,0.007017543859649089,51,0.7209302325581395,0.6888888888888889,0.7049095607235142,0.0160206718346253,251,0.5950097520655699,0.574203487863276,0.584606619964423,0.010403132101146961,87
8.115574479103088,0.00572049617767334,0.018775105476379395,9.381771087646484e-05,0.6,1,255,15,6,10,0.1,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 255, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.1}",0.57,0.65,0.61,0.040000000000000036,32,0.6440677966101694,0.6989247311827957,0.6714962638964825,0.027428467286313152,15,0.7402597402597403,0.7558139534883721,0.7480368468740561,0.0077771066143159095,102,0.5776535706493302,0.6346146988749659,0.6061341347621481,0.028480564112817852,13
0.21912705898284912,0.00031578540802001953,0.006770968437194824,0.00028717517852783203,0.8,1,5,15,6,10,0.3,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 5, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.3}",0.47,0.55,0.51,0.040000000000000036,220,0.5802469135802469,0.632183908045977,0.6062154108131119,0.02596849723286504,225,0.7580645161290323,0.7432432432432432,0.7506538796861377,0.007410636442894525,95,0.5262482168088284,0.5674265244373933,0.5468373706231109,0.020589153814282446,231
6.513375997543335,0.019763946533203125,0.012010574340820312,0.00040650367736816406,0.8,1,155,7,3,10,0.3,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 155, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 10, 'model__learning_rate': 0.3}",0.55,0.65,0.6000000000000001,0.04999999999999999,63,0.5978260869565217,0.6951871657754011,0.6465066263659613,0.04868053940943967,139,0.6547619047619048,0.7471264367816092,0.700944170771757,0.0461822660098522,270,0.5125920975195349,0.6291190193152241,0.5708555584173796,0.058263460897844566,166
7.883523941040039,0.006239891052246094,0.019102096557617188,0.000370025634765625,0.6,1,255,20,6,10,0.1,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 255, 'model__min_samples_split': 20, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.1}",0.57,0.63,0.6,0.030000000000000027,79,0.6404494382022471,0.6810810810810811,0.6607652596416641,0.020315821439417014,48,0.7307692307692307,0.7411764705882353,0.7359728506787331,0.0052036199095022995,151,0.5719024376500289,0.6136659835740632,0.592784210612046,0.020881772962017153,51
4.211307525634766,0.00421142578125,0.010707378387451172,0.00018262863159179688,0.8,1,105,7,6,10,0.1,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 105, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.1}",0.56,0.63,0.595,0.034999999999999976,88,0.6473988439306358,0.6774193548387097,0.6624090993846727,0.015010255454036947,42,0.7671232876712328,0.7325581395348837,0.7498407136030583,0.017282574068174572,99,0.5875342134738277,0.6082114010020353,0.5978728072379316,0.010338593764103787,31
4.997464179992676,0.017766952514648438,0.009340524673461914,9.560585021972656e-05,1,1,105,15,6,10,0.3,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 105, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.3}",0.55,0.64,0.595,0.04499999999999999,88,0.6214689265536724,0.6881720430107526,0.6548204847822126,0.033351558228540135,84,0.7142857142857143,0.7441860465116279,0.7292358803986712,0.014950166112956798,178,0.5500427300499832,0.6214130499385006,0.5857278899942419,0.03568515994425869,81
2.573113441467285,0.004019498825073242,0.008141517639160156,0.0002105236053466797,1,1,55,15,6,10,0.1,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 55, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.1}",0.55,0.6,0.575,0.024999999999999967,165,0.6285714285714286,0.6703910614525139,0.6494812450119712,0.020909816440542683,122,0.7333333333333333,0.759493670886076,0.7464135021097047,0.01308016877637136,106,0.5615342234323725,0.6072278254018922,0.5843810244171324,0.022846800984759885,90
10.683030486106873,0.001290440559387207,0.014728903770446777,0.0004981756210327148,1,1,205,15,6,10,0.2,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 205, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__learning_rate': 0.2}",0.56,0.64,0.6000000000000001,0.03999999999999998,63,0.6363636363636364,0.6808510638297872,0.6586073500967118,0.022243713733075432,55,0.7368421052631579,0.7272727272727273,0.7320574162679425,0.0047846889952152805,163,0.5696205480000653,0.6106215446092805,0.5901210463046729,0.020500498304607595,56
