mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__random_state,param_model__penalty,param_model__n_jobs,param_model__max_iter,param_model__dual,param_model__class_weight,param_model__C,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.7025654315948486,0.07790851593017578,0.0050470829010009766,1.8835067749023438e-05,saga,1,l1,-1,3000,False,balanced,0.1,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l1', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.81,0.88,0.845,0.034999999999999976,1,0.5159235668789809,0.5448916408668731,0.5304076038729271,0.014484036993946126,9,0.37850467289719625,0.39461883408071746,0.3865617534889568,0.008057080591760607,24,0.38977365817142384,0.439967524507712,0.41487059133956794,0.02509693316814407,6
0.6446845531463623,0.0024323463439941406,0.0052490234375,0.00020384788513183594,saga,1,l2,-1,3000,False,balanced,0.1,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l2', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.79,0.88,0.835,0.04499999999999999,2,0.5096774193548388,0.5482866043613707,0.5289820118581048,0.019304592503265938,16,0.3761904761904762,0.39819004524886875,0.38719026071967244,0.010999784529196283,22,0.3786278115385979,0.4443427841312224,0.41148529783491017,0.032857486296312244,14
1.272207498550415,0.2195587158203125,0.00510251522064209,0.00011837482452392578,saga,1,l1,-1,3000,False,balanced,0.15000000000000002,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l1', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.15000000000000002}",0.79,0.88,0.835,0.04499999999999999,2,0.5113268608414239,0.5534591194968553,0.5323929901691395,0.021066129327715732,5,0.37799043062200954,0.4036697247706422,0.3908300776963259,0.01283964707431634,8,0.38087777511766274,0.4509765996496821,0.4159271873836724,0.03504941226600969,4
0.927230954170227,0.00897204875946045,0.004956483840942383,1.1682510375976562e-05,saga,1,l2,-1,3000,False,balanced,0.15000000000000002,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l2', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.15000000000000002}",0.79,0.87,0.8300000000000001,0.03999999999999998,5,0.512987012987013,0.5437500000000001,0.5283685064935065,0.015381493506493538,18,0.3798076923076923,0.39545454545454545,0.3876311188811189,0.007823426573426578,20,0.38313727854144497,0.436553073641865,0.409845176091655,0.026707897550210025,17
6.226379632949829,1.0757184028625488,0.005223751068115234,4.1961669921875e-05,saga,1,l1,-1,3000,False,balanced,0.20000000000000004,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l1', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.20000000000000004}",0.8,0.87,0.835,0.034999999999999976,2,0.5144694533762059,0.5454545454545454,0.5299619994153757,0.015492546039169774,13,0.3791469194312796,0.3972602739726027,0.38820359670194116,0.009056677270661562,19,0.3864337287457074,0.4387588559085515,0.41259629232712947,0.02616256358142205,10
1.1818628311157227,0.0036821365356445312,0.007194638252258301,0.0008505582809448242,saga,1,l2,-1,3000,False,balanced,0.20000000000000004,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l2', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.20000000000000004}",0.79,0.87,0.8300000000000001,0.03999999999999998,5,0.5113268608414239,0.5454545454545454,0.5283907031479846,0.017063842306560772,17,0.37799043062200954,0.3972602739726027,0.3876253522973061,0.009634921675296587,21,0.38087777511766274,0.4387588559085515,0.4098183155131071,0.028940540395444386,18
6.9163254499435425,0.07792246341705322,0.00492095947265625,2.193450927734375e-05,saga,1,l1,-1,3000,False,balanced,0.25000000000000006,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l1', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.25000000000000006}",0.78,0.86,0.8200000000000001,0.03999999999999998,19,0.5064935064935064,0.5443037974683543,0.5253986519809304,0.018905145487423947,24,0.375,0.39814814814814814,0.38657407407407407,0.01157407407407407,23,0.37306932191517483,0.43541963638164,0.40424447914840744,0.03117515723323258,23
1.4133034944534302,0.0050667524337768555,0.00507044792175293,0.00016045570373535156,saga,1,l2,-1,3000,False,balanced,0.25000000000000006,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l2', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.25000000000000006}",0.79,0.87,0.8300000000000001,0.03999999999999998,5,0.512987012987013,0.5471698113207547,0.5300784121538838,0.017091399166870858,12,0.3798076923076923,0.39908256880733944,0.38944513055751584,0.009637438249823577,13,0.38313727854144497,0.440974149744773,0.412055714143109,0.028918435601664016,11
7.25767719745636,0.45132601261138916,0.011268854141235352,0.006315946578979492,saga,1,l1,-1,3000,False,balanced,0.30000000000000004,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l1', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.30000000000000004}",0.79,0.86,0.825,0.034999999999999976,13,0.5163398692810457,0.5425867507886436,0.5294633100348447,0.013123440753798954,15,0.38349514563106796,0.39631336405529954,0.38990425484318375,0.006409109212115793,11,0.38768549494436333,0.43319086056573136,0.4104381777550473,0.022752682810684016,15
1.6173839569091797,0.007921934127807617,0.005101442337036133,1.8596649169921875e-05,saga,1,l2,-1,3000,False,balanced,0.30000000000000004,"{'model__solver': 'saga', 'model__random_state': 1, 'model__penalty': 'l2', 'model__n_jobs': -1, 'model__max_iter': 3000, 'model__dual': False, 'model__class_weight': 'balanced', 'model__C': 0.30000000000000004}",0.79,0.86,0.825,0.034999999999999976,13,0.5146579804560261,0.5443037974683543,0.5294808889621903,0.014822908506164134,14,0.38164251207729466,0.39814814814814814,0.38989533011272137,0.00825281803542674,12,0.3854064687931225,0.43541963638164,0.41041305258738126,0.02500658379425874,16
