mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__warm_start,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.04070603847503662,0.0008319616317749023,0.010648608207702637,0.00027048587799072266,False,3,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 3, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.44,0.44,0.44,0.0,261,0.5398773006134969,0.5569620253164557,0.5484196629649762,0.008542362351479371,274,0.6984126984126984,0.7586206896551724,0.7285166940339354,0.030103995621237,119,0.47462301006385166,0.5072244062563986,0.49092370816012515,0.01630069809627349,289
0.33619391918182373,0.005366206169128418,0.018906593322753906,0.0016713142395019531,False,43,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 43, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.47,0.425,0.044999999999999984,271,0.5170068027210885,0.5987261146496815,0.557866458685385,0.040859655964296526,262,0.8085106382978723,0.8245614035087719,0.8165360209033221,0.008025382605449827,4,0.49118189586836336,0.5612321399519674,0.5262070179101654,0.035025122041802026,14
0.552233099937439,0.0019620656967163086,0.022925972938537598,0.00018918514251708984,False,83,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 83, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.41,0.41,0.41,0.0,290,0.543046357615894,0.543046357615894,0.543046357615894,0.0,282,0.803921568627451,0.803921568627451,0.803921568627451,0.0,13,0.510035295080374,0.510035295080374,0.510035295080374,0.0,101
0.761194109916687,0.0005358457565307617,0.03361356258392334,0.0005697011947631836,False,123,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 123, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.37,0.46,0.41500000000000004,0.04500000000000001,281,0.5,0.5859872611464968,0.5429936305732483,0.0429936305732484,283,0.7708333333333334,0.8070175438596491,0.7889254385964912,0.018092105263157854,56,0.46630955843837446,0.545546294491162,0.5059279264647683,0.03961836802639376,151
1.001020073890686,0.008973002433776855,0.03999006748199463,0.0006669759750366211,False,163,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 163, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.41,0.45,0.43,0.020000000000000018,263,0.5290322580645161,0.5732484076433121,0.5511403328539142,0.02210807478939797,269,0.7454545454545455,0.7894736842105263,0.7674641148325358,0.022009569377990423,101,0.4807562782369768,0.5298604490303566,0.5053083636336667,0.024552085396689877,164
1.257096529006958,0.0005154609680175781,0.06753051280975342,0.0016144514083862305,False,203,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 203, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.47,0.425,0.044999999999999984,271,0.5100671140939598,0.5911949685534592,0.5506310413237094,0.04056392722974972,271,0.7755102040816326,0.7966101694915254,0.7860601867865791,0.010549982704946392,64,0.4754979494029426,0.546781486746652,0.5111397180747973,0.03564176867185467,90
1.4778966903686523,0.0012493133544921875,0.05485200881958008,0.0005218982696533203,False,243,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 243, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.48,0.43,0.04999999999999999,263,0.5135135135135135,0.6037735849056604,0.5586435492095869,0.045130035696073434,260,0.7916666666666666,0.8135593220338984,0.8026129943502824,0.010946327683615864,14,0.48323476961919,0.5622334780276543,0.5227341238234222,0.03949935420423217,21
1.6824135780334473,0.0040776729583740234,0.06536638736724854,0.00027763843536376953,False,283,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 283, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.42,0.4,0.01999999999999999,295,0.5066666666666666,0.5526315789473685,0.5296491228070175,0.022982456140350938,302,0.76,0.8076923076923077,0.7838461538461539,0.02384615384615385,67,0.4679610198023514,0.5187781911076178,0.4933696054549846,0.02540858565263321,278
0.03365194797515869,0.0022431612014770508,0.007024049758911133,0.0002720355987548828,False,3,7,3,9,,"{'model__warm_start': False, 'model__n_estimators': 3, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.47,0.425,0.044999999999999984,271,0.4967320261437908,0.5802469135802469,0.5384894698620188,0.041757443718228066,289,0.7169811320754716,0.7580645161290323,0.737522824102252,0.0205416920267803,117,0.4464557157778082,0.5262482168088284,0.4863519662933183,0.0398962505155101,306
0.3089355230331421,0.0012775659561157227,0.018891572952270508,0.000362396240234375,False,43,7,3,9,,"{'model__warm_start': False, 'model__n_estimators': 43, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.44,0.41000000000000003,0.03,286,0.5170068027210885,0.5641025641025641,0.5405546834118262,0.02354788069073782,286,0.8085106382978723,0.7857142857142857,0.797112462006079,0.011398176291793294,23,0.49118189586836336,0.5212827477778349,0.5062323218230991,0.015050425954735769,145
