metrica,pre,rec,spe,f1,geo,iba,sup,matthew,estimator
0,0.976027397260274,0.6263736263736264,0.9375,0.7630522088353414,0.7663062538732636,0.568955147702572,455.0,0.4491989362818429,svm_linear
1,0.38181818181818183,0.9375,0.6263736263736264,0.5426356589147286,0.7663062538732636,0.6054954017479772,112.0,0.4491989362818429,svm_linear
avg_pre,0.8586527374198607,0.8586527374198607,0.8586527374198607,0.8586527374198607,0.8586527374198607,0.8586527374198607,0.8586527374198607,0.4491989362818429,svm_linear
avg_rec,0.6878306878306878,0.6878306878306878,0.6878306878306878,0.6878306878306878,0.6878306878306878,0.6878306878306878,0.6878306878306878,0.4491989362818429,svm_linear
avg_spe,0.8760429385429386,0.8760429385429386,0.8760429385429386,0.8760429385429386,0.8760429385429386,0.8760429385429386,0.8760429385429386,0.4491989362818429,svm_linear
avg_f1,0.7195131372460846,0.7195131372460846,0.7195131372460846,0.7195131372460846,0.7195131372460846,0.7195131372460846,0.7195131372460846,0.4491989362818429,svm_linear
avg_geo,0.7663062538732636,0.7663062538732636,0.7663062538732636,0.7663062538732636,0.7663062538732636,0.7663062538732636,0.7663062538732636,0.4491989362818429,svm_linear
avg_iba,0.5761729756621583,0.5761729756621583,0.5761729756621583,0.5761729756621583,0.5761729756621583,0.5761729756621583,0.5761729756621583,0.4491989362818429,svm_linear
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.4491989362818429,svm_linear
0,0.9597855227882037,0.7868131868131868,0.8660714285714286,0.8647342995169082,0.8254916236535262,0.6760354754644883,455.0,0.5478931412282788,rf
1,0.5,0.8660714285714286,0.7868131868131868,0.6339869281045751,0.8254916236535262,0.6868373659797816,112.0,0.5478931412282788,rf
avg_pre,0.8689636911263363,0.8689636911263363,0.8689636911263363,0.8689636911263363,0.8689636911263363,0.8689636911263363,0.8689636911263363,0.5478931412282788,rf
avg_rec,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.5478931412282788,rf
avg_spe,0.8504154795821462,0.8504154795821462,0.8504154795821462,0.8504154795821462,0.8504154795821462,0.8504154795821462,0.8504154795821462,0.5478931412282788,rf
avg_f1,0.8191545718305214,0.8191545718305214,0.8191545718305214,0.8191545718305214,0.8191545718305214,0.8191545718305214,0.8191545718305214,0.5478931412282788,rf
avg_geo,0.8254916236535261,0.8254916236535261,0.8254916236535261,0.8254916236535261,0.8254916236535261,0.8254916236535261,0.8254916236535261,0.5478931412282788,rf
avg_iba,0.6781691822329413,0.6781691822329413,0.6781691822329413,0.6781691822329413,0.6781691822329413,0.6781691822329413,0.6781691822329413,0.5478931412282788,rf
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.5478931412282788,rf
0,0.906054279749478,0.9538461538461539,0.5982142857142857,0.9293361884368309,0.755383608244444,0.5908969063217003,455.0,0.6070049654985686,gbc
1,0.7613636363636364,0.5982142857142857,0.9538461538461539,0.6699999999999999,0.755383608244444,0.5503118848870909,112.0,0.6070049654985686,gbc
avg_pre,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.6070049654985686,gbc
avg_rec,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.6070049654985686,gbc
avg_spe,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.6070049654985686,gbc
avg_f1,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.6070049654985686,gbc
avg_geo,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.6070049654985686,gbc
avg_iba,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.6070049654985686,gbc
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.6070049654985686,gbc
0,0.9119496855345912,0.9560439560439561,0.625,0.9334763948497854,0.7729990119835034,0.6173082583625166,455.0,0.6330576386674293,voting_soft
1,0.7777777777777778,0.625,0.9560439560439561,0.6930693069306931,0.7729990119835034,0.5777466866924283,112.0,0.6330576386674293,voting_soft
avg_pre,0.8854465926443564,0.8854465926443564,0.8854465926443564,0.8854465926443564,0.8854465926443564,0.8854465926443564,0.8854465926443564,0.6330576386674293,voting_soft
avg_rec,0.890652557319224,0.890652557319224,0.890652557319224,0.890652557319224,0.890652557319224,0.890652557319224,0.890652557319224,0.6330576386674293,voting_soft
avg_spe,0.6903913987247321,0.6903913987247321,0.6903913987247321,0.6903913987247321,0.6903913987247321,0.6903913987247321,0.6903913987247321,0.6330576386674293,voting_soft
avg_f1,0.8859885750139154,0.8859885750139154,0.8859885750139154,0.8859885750139154,0.8859885750139154,0.8859885750139154,0.8859885750139154,0.6330576386674293,voting_soft
avg_geo,0.7729990119835034,0.7729990119835034,0.7729990119835034,0.7729990119835034,0.7729990119835034,0.7729990119835034,0.7729990119835034,0.6330576386674293,voting_soft
avg_iba,0.6094936269215115,0.6094936269215115,0.6094936269215115,0.6094936269215115,0.6094936269215115,0.6094936269215115,0.6094936269215115,0.6330576386674293,voting_soft
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.6330576386674293,voting_soft
