mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__warm_start,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.6063987016677856,0.0012093782424926758,0.02909541130065918,0.0019495487213134766,False,100,20,6,17,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 6, 'model__max_depth': 17, 'model__class_weight': None}",0.44,0.51,0.475,0.035,57,0.5569620253164557,0.6107784431137725,0.5838702342151141,0.026908208898658414,56,0.7586206896551724,0.7611940298507462,0.7599073597529593,0.001286670097786935,77,0.5072244062563986,0.5532168117144514,0.530220608985425,0.02299620272902636,60
0.5985399484634399,0.0028170347213745117,0.027365565299987793,0.0005944967269897461,False,100,15,6,11,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 11, 'model__class_weight': None}",0.42,0.51,0.46499999999999997,0.04500000000000001,61,0.5454545454545454,0.618181818181818,0.5818181818181818,0.03636363636363632,60,0.7777777777777778,0.7846153846153846,0.7811965811965812,0.0034188034188034067,42,0.503876881911261,0.5662290679376505,0.5350529749244557,0.03117609301319474,56
0.6166059970855713,0.0022640228271484375,0.03056657314300537,0.0037316083908081055,False,100,20,3,13,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 3, 'model__max_depth': 13, 'model__class_weight': None}",0.42,0.54,0.48,0.060000000000000026,53,0.5419354838709678,0.6352941176470589,0.5886148007590133,0.04667931688804555,55,0.7636363636363637,0.7714285714285715,0.7675324675324675,0.0038961038961038974,63,0.4966894847443088,0.5776898314477206,0.5371896580960147,0.04050017335170589,55
0.6397743225097656,0.0003974437713623047,0.028753161430358887,0.001122117042541504,False,100,7,6,20,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_depth': 20, 'model__class_weight': None}",0.46,0.56,0.51,0.05000000000000002,30,0.5714285714285714,0.6627218934911243,0.6170752324598479,0.04564666103127646,30,0.7540983606557377,0.8115942028985508,0.7828462817771442,0.02874792112140656,37,0.5177180173917952,0.612942986181518,0.5653305017866566,0.047612484394861376,27
0.6335034370422363,0.011170625686645508,0.028261899948120117,0.0005340576171875,False,100,7,6,15,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__class_weight': None}",0.44,0.55,0.495,0.05500000000000002,41,0.5605095541401274,0.6470588235294117,0.6037841888347695,0.043274634694642156,41,0.7719298245614035,0.7857142857142857,0.7788220551378446,0.006892230576441116,46,0.5141746035695511,0.5920529106556024,0.5531137571125768,0.03893915354302563,35
0.6001901626586914,0.0051958560943603516,0.028134942054748535,0.0003908872604370117,False,100,15,6,10,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 10, 'model__class_weight': None}",0.4,0.5,0.45,0.04999999999999999,67,0.5263157894736842,0.6097560975609756,0.5680359435173299,0.04172015404364571,67,0.7692307692307693,0.78125,0.7752403846153846,0.006009615384615362,52,0.48611342647168954,0.5580100840759072,0.5220617552737984,0.03594832880210885,67
0.5400489568710327,4.494190216064453e-05,0.025853395462036133,2.2411346435546875e-05,False,100,20,6,7,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 6, 'model__max_depth': 7, 'model__class_weight': None}",0.25,0.21,0.22999999999999998,0.020000000000000004,83,0.37593984962406013,0.33870967741935487,0.3573247635217075,0.01861508610235263,83,0.7575757575757576,0.875,0.8162878787878788,0.058712121212121215,9,0.3717012292103414,0.37978874011371233,0.3757449846620269,0.004043755451685477,81
0.6581568717956543,0.009351968765258789,0.02795851230621338,0.0005644559860229492,False,100,7,3,16,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 16, 'model__class_weight': None}",0.52,0.57,0.5449999999999999,0.024999999999999967,10,0.6265060240963856,0.6551724137931034,0.6408392189447445,0.014333194848358932,7,0.7878787878787878,0.7702702702702703,0.7790745290745291,0.00880425880425878,45,0.5743846293588069,0.5954939708263121,0.5849393000925595,0.010554670733752602,8
0.6393139362335205,0.008669137954711914,0.028757691383361816,0.0006643533706665039,False,100,10,3,11,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 11, 'model__class_weight': None}",0.47,0.57,0.52,0.04999999999999999,20,0.5911949685534592,0.6627906976744186,0.6269928331139389,0.035797864560479675,18,0.7966101694915254,0.7916666666666666,0.794138418079096,0.0024717514124293904,19,0.546781486746652,0.6079102635004192,0.5773458751235356,0.030564388376883633,15
0.6593430042266846,0.00510716438293457,0.028400063514709473,0.00024211406707763672,False,100,15,3,18,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 3, 'model__max_depth': 18, 'model__class_weight': None}",0.49,0.56,0.525,0.03500000000000003,17,0.6049382716049382,0.6363636363636364,0.6206509539842873,0.015712682379349086,25,0.7903225806451613,0.7368421052631579,0.7635823429541595,0.0267402376910017,75,0.556496473669983,0.5696205480000653,0.5630585108350241,0.006562037165041168,29
