mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,param_model__base_estimator,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.0928945541381836,0.03775763511657715,0.48361289501190186,0.015204071998596191,6,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.71,0.675,0.034999999999999976,30,0.6994535519125684,0.7244897959183674,0.7119716739154679,0.012518122002899479,23,0.7710843373493976,0.7395833333333334,0.7553338353413654,0.01575050200803213,13,0.6382150959015485,0.6588807509061018,0.6485479234038252,0.010332827502276654,21
0.15308713912963867,0.013257026672363281,0.5090204477310181,0.01363837718963623,1,-1,15,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 15, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.69,0.675,0.014999999999999958,30,0.717391304347826,0.700507614213198,0.708949459280512,0.008441845067314047,31,0.7857142857142857,0.711340206185567,0.7485272459499264,0.03718703976435933,24,0.6591818949063907,0.6286014327655215,0.6438916638359561,0.01529023107043459,29
0.16506505012512207,0.05205273628234863,0.5335572957992554,0.042900681495666504,10,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 10, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.69,0.6799999999999999,0.009999999999999953,18,0.7127659574468085,0.7076923076923077,0.7102291325695581,0.0025368248772503765,27,0.7613636363636364,0.7263157894736842,0.7438397129186602,0.017523923444976053,30,0.6498669576484398,0.6386427535805129,0.6442548556144764,0.005612102033963451,28
0.4912320375442505,0.23657691478729248,0.9002155065536499,0.3648484945297241,8,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 8, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.71,0.6799999999999999,0.02999999999999997,18,0.7103825136612022,0.7171717171717172,0.7137771154164597,0.0033946017552575203,18,0.7831325301204819,0.7244897959183674,0.7538111630194246,0.02932136710105726,17,0.651605698442354,0.6487717934565084,0.6501887459494312,0.0014169524929228405,18
0.6367508172988892,0.0039011240005493164,1.088348627090454,0.003420591354370117,5,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.68,0.665,0.015000000000000013,42,0.7103825136612022,0.7120418848167539,0.711212199238978,0.0008296855777758516,25,0.7831325301204819,0.7472527472527473,0.7651926386866146,0.017939891433867317,3,0.651605698442354,0.6466459795085608,0.6491258389754575,0.0024798594668966056,19
0.45933496952056885,0.06543600559234619,0.6657707691192627,0.009614944458007812,8,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 8, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.71,0.675,0.034999999999999976,30,0.6881720430107526,0.7171717171717172,0.7026718800912349,0.014499837080482303,37,0.7441860465116279,0.7244897959183674,0.7343379212149976,0.009848125296630261,35,0.6214130499385006,0.6487717934565084,0.6350924216975045,0.013679371759003911,37
0.30860042572021484,0.010449409484863281,0.6840660572052002,0.0064089298248291016,2,-1,20,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 20, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.71,0.675,0.034999999999999976,30,0.6956521739130435,0.7282051282051281,0.7119286510590858,0.0162764771460423,24,0.7619047619047619,0.7473684210526316,0.7546365914786968,0.007268170426065146,16,0.6325292044724169,0.6640365011399134,0.6482828528061652,0.01575364833374826,22
0.5853383541107178,0.037662506103515625,1.17183518409729,0.11420893669128418,2,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.72,0.6799999999999999,0.03999999999999998,18,0.7032967032967035,0.7309644670050761,0.7171305851508898,0.013833881854186325,9,0.7804878048780488,0.7422680412371134,0.7613779230575811,0.01910988182046769,7,0.6439896384527456,0.6663889281715902,0.655189283312168,0.01119964485942232,6
0.2999565601348877,0.009941577911376953,0.20852506160736084,0.07855618000030518,4,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.68,0.67,0.010000000000000009,37,0.6947368421052631,0.6974358974358974,0.6960863697705802,0.0013495276653171517,38,0.7333333333333333,0.7157894736842105,0.724561403508772,0.008771929824561375,40,0.6260696635095321,0.6259458798008126,0.6260077716551724,6.189185435973021e-05,38
0.23418855667114258,3.457069396972656e-05,0.16021645069122314,0.01462256908416748,5,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.65,0.66,0.010000000000000009,43,0.6979166666666667,0.680628272251309,0.6892724694589878,0.008644197207678894,44,0.7282608695652174,0.7142857142857143,0.7212732919254659,0.006987577639751552,41,0.6285082614261827,0.6079143149600996,0.6182112881931412,0.010296973233041518,44
