mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.06573951244354248,0.00259244441986084,0.014392495155334473,0.0007566213607788086,1,-1,1,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.58,0.6,0.59,0.010000000000000009,41,0.5979381443298969,0.5970149253731343,0.5974765348515156,0.0004616094783813085,38,0.6170212765957447,0.594059405940594,0.6055403412681694,0.011480935327575326,37,0.5035276690984635,0.49764106016069987,0.5005843646295817,0.002943304468881802,38
0.06410038471221924,0.0007985830307006836,0.014820456504821777,0.0003076791763305664,2,-1,1,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.57,0.66,0.615,0.04500000000000004,24,0.5671641791044776,0.6111111111111112,0.5891376451077943,0.02197346600331679,40,0.5643564356435643,0.5689655172413793,0.5666609764424718,0.0023045407989075173,42,0.4604278621388693,0.5090927506773265,0.4847603064080979,0.024332444269228592,41
0.06333839893341064,0.0049065351486206055,0.013561487197875977,0.0006093978881835938,3,-1,1,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.6,0.67,0.635,0.03500000000000003,3,0.576923076923077,0.638095238095238,0.6075091575091576,0.030586080586080533,37,0.5555555555555556,0.6090909090909091,0.5823232323232324,0.026767676767676774,40,0.46876279938952414,0.5450534710528468,0.5069081352211855,0.03814533583166135,37
0.07726645469665527,0.006844520568847656,0.01713109016418457,0.0019681453704833984,4,-1,1,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.62,0.59,0.605,0.015000000000000013,37,0.607843137254902,0.5812807881773399,0.5945619627161209,0.013281174538781082,39,0.5961538461538461,0.5728155339805825,0.5844846900672143,0.011669156086631827,38,0.5095216978277988,0.4768395947644458,0.4931806462961223,0.016341051531676476,39
0.07699894905090332,0.0018761157989501953,0.01517343521118164,0.0003066062927246094,5,-1,1,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.58,0.59,0.585,0.0050000000000000044,42,0.5888324873096447,0.5784313725490196,0.5836319299293321,0.005200557380312554,42,0.5979381443298969,0.5673076923076923,0.5826229183187945,0.0153152260111023,39,0.49004728294326944,0.4727132475296586,0.48138026523646404,0.008667017706805419,42
0.07724213600158691,0.0028829574584960938,0.014362454414367676,0.0008226633071899414,6,-1,1,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 1}",0.56,0.64,0.6000000000000001,0.03999999999999998,38,0.5656565656565656,0.6124401913875598,0.5890483785220627,0.023391812865497075,41,0.5714285714285714,0.5871559633027523,0.5792922673656619,0.007863695937090465,41,0.4605716615036154,0.5130564839064572,0.4868140727050363,0.0262424112014209,40
0.1139678955078125,0.0002970695495605469,0.03322899341583252,0.01106107234954834,1,-1,3,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.56,0.66,0.6100000000000001,0.04999999999999999,30,0.5957446808510639,0.66,0.627872340425532,0.03212765957446806,36,0.6363636363636364,0.66,0.6481818181818182,0.011818181818181839,35,0.5059671098381893,0.5766666666666667,0.541316888252428,0.0353497784142387,36
0.1694713830947876,0.050467610359191895,0.030034899711608887,0.011721968650817871,2,-1,3,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.61,0.71,0.6599999999999999,0.04999999999999999,1,0.6256410256410256,0.6893203883495145,0.6574807069952701,0.03183968135424442,21,0.6421052631578947,0.6698113207547169,0.6559582919563058,0.013853028798411104,34,0.537067763342911,0.6107996794601265,0.5739337214015188,0.03686595805860776,26
0.29133617877960205,0.0005789995193481445,0.01795339584350586,0.0003266334533691406,3,-1,3,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.61,0.66,0.635,0.025000000000000022,3,0.6288659793814433,0.6633165829145728,0.6460912811480081,0.017225301766564782,31,0.648936170212766,0.6666666666666666,0.6578014184397163,0.00886524822695034,33,0.5417740889402726,0.5813231649277323,0.5615486269340024,0.019774537993729857,32
0.3273129463195801,0.049011945724487305,0.021428465843200684,8.64267349243164e-05,4,-1,3,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.58,0.64,0.61,0.030000000000000027,32,0.6041666666666666,0.6772486772486772,0.6407076719576719,0.03654100529100529,34,0.6304347826086957,0.7191011235955056,0.6747679531021007,0.04433317049340496,30,0.5128076747278211,0.6053418200610252,0.5590747473944231,0.04626707266660207,34
0.27730000019073486,0.013055920600891113,0.023384451866149902,0.004247546195983887,5,-1,3,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.6,0.66,0.63,0.030000000000000027,7,0.6091370558375634,0.66,0.6345685279187817,0.02543147208121832,35,0.6185567010309279,0.66,0.639278350515464,0.020721649484536087,36,0.5152389465473153,0.5766666666666667,0.545952806606991,0.03071386005967569,35
