tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
861,221,93,25,0.1,0.25,0.7383333333333333,0.5020708697653015,0.823761568747763,0.7383333333333333,0.5038065102290172,0.7383333333333333,0.491569334398411,0.7761153810171492,0.005615260259180274
856,224,98,22,0.1,0.25,0.7316666666666667,0.4933527637163164,0.8164902592422151,0.7316666666666667,0.487962962962963,0.7316666666666667,0.4809549140029338,0.7695439818173027,-0.01789000048525833
869,223,85,23,0.1,0.25,0.7433333333333333,0.5021987012322953,0.8373349695761109,0.7433333333333333,0.5043752543752543,0.7433333333333333,0.48970293420812827,0.7847056679424093,0.006203185370913038
872,212,82,34,0.1,0.25,0.755,0.5261287518535562,0.8390487634436092,0.755,0.5487657462781524,0.755,0.521793113170208,0.7911776793411371,0.07139154245301975
866,224,88,22,0.1,0.25,0.74,0.4985938538630669,0.8327436041656014,0.74,0.4972477064220183,0.74,0.4854768134743508,0.781013214890389,-0.003934527662825407
865,213,89,33,0.1,0.25,0.7483333333333333,0.5204274684256276,0.8281647662388574,0.7483333333333333,0.5364518385595669,0.7483333333333334,0.515362889421431,0.7830548898778957,0.0545754076936354
857,211,97,35,0.1,0.25,0.7433333333333333,0.5202996369586337,0.8151577440302704,0.7433333333333333,0.5337929860401771,0.7433333333333333,0.5164303769645016,0.7748016265523684,0.05238264400977759
856,220,98,26,0.1,0.25,0.735,0.5014828450171294,0.8154776635816673,0.735,0.5026082264060439,0.735,0.49194514711756093,0.7707261350019972,0.003933240663751736
864,230,90,16,0.1,0.25,0.7333333333333333,0.48535051388249734,0.8314056348110651,0.7333333333333333,0.4703528681314891,0.7333333333333333,0.46732954545454547,0.777249053030303,-0.04168046289241625
856,218,98,28,0.1,0.25,0.7366666666666667,0.505547885667536,0.8150120161578975,0.7366666666666667,0.5096213531967722,0.7366666666666667,0.4973595469873386,0.7713488579245404,0.014612072748610766
859,217,95,29,0.1,0.25,0.74,0.5091527330367643,0.8195575326822451,0.74,0.516099052644202,0.74,0.5015310877379843,0.7750520569830915,0.024277588924536575
859,205,95,41,0.1,0.25,0.75,0.5335429769392034,0.8172606568832984,0.75,0.5544007076514816,0.75,0.5329988221192513,0.7791810874900762,0.08543445867400325
868,216,86,30,0.1,0.25,0.7483333333333333,0.515902234494043,0.8336893865794004,0.7483333333333333,0.5296793485176231,0.7483333333333333,0.5087806808755198,0.785495439323209,0.04344964716808051
869,215,85,31,0.1,0.25,0.75,0.5184588638339214,0.8350292307954525,0.75,0.5344509479577554,0.75,0.5120337889491918,0.7869159993276911,0.050435120989315324
867,225,87,21,0.1,0.25,0.74,0.4970854425525387,0.8346955054456205,0.74,0.49420024420024417,0.74,0.48307569958745467,0.7819096376559471,-0.0082228271195824
873,227,81,19,0.1,0.25,0.7433333333333333,0.49616505599018257,0.8452727923505651,0.7433333333333333,0.4918181818181818,0.7433333333333333,0.47993763754354957,0.7883635108336945,-0.011203002209368557
867,225,87,21,0.1,0.25,0.74,0.4970854425525387,0.8346955054456205,0.74,0.49420024420024417,0.74,0.48307569958745467,0.7819096376559471,-0.0082228271195824
