tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
433,107,44,16,0.1,0.25,0.7483333333333333,0.5189190571150994,0.8299892621567725,0.7483333333333333,0.5342592592592592,0.7483333333333333,0.5131937392201428,0.7838580202137433,0.05091769368881217
428,114,49,9,0.1,0.25,0.7283333333333334,0.48522268241550337,0.8176112559867738,0.7283333333333334,0.4724201552360351,0.7283333333333334,0.4697433839914551,0.7684487192694242,-0.0403760386867372
432,114,45,9,0.1,0.25,0.735,0.4894155545329038,0.830736309249885,0.735,0.4789377289377289,0.735,0.4731348476564441,0.7777155922262537,-0.029861845855325555
424,110,53,13,0.1,0.25,0.7283333333333334,0.497289972899729,0.8027371273712737,0.7283333333333334,0.49548859380320054,0.7283333333333334,0.4881698145793101,0.7616406826495846,-0.006993148948408595
427,111,50,12,0.1,0.25,0.7316666666666667,0.49636958633737277,0.8127577508479488,0.7316666666666667,0.49361434224727185,0.7316666666666666,0.4855545200372786,0.7678421870146007,-0.00962965817677149
442,112,35,11,0.1,0.25,0.755,0.5080278161272179,0.8624398766000239,0.755,0.5184821849003296,0.755,0.49379874769712867,0.801664724889376,0.024361574826688756
440,104,37,19,0.1,0.25,0.765,0.5384517052717697,0.8507555691909119,0.765,0.5740546218487395,0.765,0.5370953003682446,0.801269869062536,0.10672443943802352
432,108,45,15,0.1,0.25,0.745,0.5138057984353428,0.8272894615738611,0.745,0.525,0.745,0.506745974176701,0.7809952125344553,0.03715615485399807
433,117,44,6,0.1,0.25,0.7316666666666667,0.4782686506110344,0.836175452949498,0.7316666666666667,0.4536363636363636,0.7316666666666667,0.45629843925007446,0.7787436704170441,-0.06348367918642182
433,107,44,16,0.1,0.25,0.7483333333333333,0.5189190571150994,0.8299892621567725,0.7483333333333333,0.5342592592592592,0.7483333333333333,0.5131937392201428,0.7838580202137433,0.05091769368881217
