ASA,ASA+,ASA-,ASAH,ASAP,Accsitecount,AliphaticAtomCount,AliphaticRingCount,AromaticAtomCount,AromaticRingCount,AtomCountC,AtomCountN,AvgPol,BalabanIndex,BondCount,CarboRingCount,CarboaliphaticRingCount,CarboaromaticRingCount,ChainAtomCount,ChiralCenterCount,CyclomaticNumber,Hacceptorcount,Hdonorcount,HeteroaliphaticRingCount,HeteroaromaticRingCount,HyperWienerIndex,LargestRingSize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,MaximalProjectionArea,MaximalProjectionRadius,MinimalProjectionArea,MinimalProjectionRadius,MolPol,PolarSurfaceArea,Refractivity,RingAtomCount,RotatableBondCount,SmallestRingSize,VanderWaalsSurfaceArea,VanderWaalsVolume,WienerIndex,WienerPolarity,acceptorcount,donorcount,donsitecount,frArN,frAr NH,frImine,frNH0,frNH1,frNH2,frAmidine,frDihydropyridine,frGuanido,frPiperdine,frPiperzine,frPyridine,frQuatN,maximalprojectionsize,minimalprojectionsize
302.03,189.88,112.15,146.27,155.76,0,5,0,6,1,7,1,13.18,2.18,18,1,0,1,5,0,1,0,1,0,0,340,6,5.02,9.5,46.91,4.78,23.91,3.48,12.94,27.64,46.96,6,1,6,206.0,128.06,152,13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.02,9.5
279.65,185.74,93.91,201.33,78.32,0,3,0,6,1,7,1,12.74,1.94,18,1,0,1,3,0,1,0,1,0,0,187,6,5.21,9.78,43.98,4.92,24.13,3.37,13.28,27.64,46.04,6,1,6,193.91,118.01,90,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.21,9.78
191.44,136.92,54.52,129.54,61.9,0,2,0,0,0,1,1,4.23,1.0,7,0,0,0,2,0,0,0,1,0,0,1,0,5.08,4.81,17.05,2.67,13.88,2.33,4.04,27.64,21.21,0,0,0,81.16,42.58,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.08,4.81
241.69,175.03,66.66,207.3,34.38,0,5,0,0,0,4,1,9.73,3.02,16,0,0,0,5,0,0,0,1,0,0,22,0,5.96,5.77,29.4,3.38,25.82,3.36,9.57,27.64,35.02,0,0,0,177.46,93.72,16,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96,5.77
311.27,207.04,104.23,230.35,80.92,0,4,0,6,1,8,1,14.8,2.13,21,1,0,1,4,0,1,0,1,0,0,296,6,5.08,10.8,48.87,5.49,25.38,3.37,15.04,27.64,50.8,6,2,6,224.66,135.05,127,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.08,10.8
359.43,285.85,73.58,304.69,54.74,0,9,0,0,0,7,2,17.53,3.09,28,0,0,0,9,0,0,0,2,0,0,242,0,6.0,10.69,55.8,5.42,34.16,4.32,16.56,32.08,64.61,0,5,0,294.02,160.34,104,8,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,6.0,10.69
302.2,230.8,71.4,288.54,13.65,0,7,0,0,0,6,1,13.62,2.95,22,0,0,0,7,0,0,0,1,0,0,91,0,6.12,8.46,41.21,4.49,28.74,3.37,13.27,16.61,44.44,0,2,0,236.93,128.14,48,4,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,6.12,8.46
272.92,196.91,76.01,227.04,45.88,0,2,0,6,1,7,1,12.63,2.13,18,1,0,1,2,0,1,0,1,0,0,122,6,5.0,9.2,42.12,4.68,24.65,3.52,13.66,27.64,45.82,6,1,6,186.95,113.17,64,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,9.2
524.51,398.73,125.78,481.73,42.78,0,13,0,0,0,12,1,26.67,2.76,40,0,0,0,13,0,0,0,1,0,0,1365,0,7.19,19.06,80.65,9.65,32.95,4.07,24.35,27.64,71.89,0,10,0,417.97,229.29,364,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7.19,19.06
176.28,146.92,29.36,33.15,143.13,1,3,0,0,0,1,2,4.78,1.63,7,0,0,0,3,0,0,1,2,0,0,5,0,3.88,5.69,19.81,3.09,13.66,2.41,4.77,51.49,33.86,0,0,0,78.34,47.38,4,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,3.88,5.69
312.97,244.72,68.26,242.32,70.65,2,3,0,6,1,7,1,13.7,1.94,19,1,0,1,3,0,1,1,1,0,0,187,6,5.59,10.11,45.96,5.09,24.08,3.45,14.28,36.87,47.45,6,1,6,204.29,122.32,90,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.59,10.11
256.81,256.81,0.0,153.29,103.52,0,2,0,6,1,6,2,12.61,2.19,18,1,0,1,2,0,1,0,2,0,0,115,6,4.31,8.86,42.74,4.46,22.02,3.5,13.2,55.28,55.92,6,0,6,176.15,110.43,62,7,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4.31,8.86
