frAmidine,frNH1,HeteroaromaticRingCount,HeteroaliphaticRingCount,CyclomaticNumber,CarboaromaticRingCount,CarboaliphaticRingCount,CarboRingCount,frImine,frGuanido,frAr NH,AromaticAtomCount,AliphaticRingCount,frNH0,frPiperdine,frPyridine,AromaticRingCount,AtomCountN,LargestRingSize,acceptorcount,RingAtomCount,Accsitecount,donorcount,Hacceptorcount,Hdonorcount,frQuatN,SmallestRingSize,frNH2,donsitecount,RotatableBondCount,AtomCountC,ChainAtomCount,PolarSurfaceArea,AliphaticAtomCount,WienerPolarity,BondCount,BalabanIndex,WienerIndex,HyperWienerIndex,MolPol,MinimalProjectionRadius,MaximalProjectionRadius,maximalprojectionsize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,AvgPol,minimalprojectionsize,MinimalProjectionArea,ASAP,Refractivity,ASA,VanderWaalsSurfaceArea,ASAH,ASA-,ASA+,VanderWaalsVolume,MaximalProjectionArea,_rxn_organic-inchikey,Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,6,8,9,27.64,9,6,28,2.6,120,330,16.96,3.21,7.17,5.48,5.48,14.18,18.22,14.18,24.43,42.47,53.49,394.28,295.58,351.81,96.87,297.41,161.41,57.88,HBZSVMFYMAOGRS-UHFFFAOYSA-N,n-Octylammonium Iodide,nOctylammoniumIodide,257.16,1.31499,"InChI=1S/C8H19N.HI/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H",organic,CCCCCCCC[NH3+].[I-],C8H20IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,6,1,2,4,55.28,4,1,13,1.97,10,15,7.34,2.69,3.88,5.1,5.1,7.75,7.76,7.75,17.79,97.45,40.45,209.1,131.32,111.65,17.63,191.47,73.86,28.03,IWNWLPUNKAYUAW-UHFFFAOYSA-N,"Ethane-1,2-diammonium iodide",EthylenediamineDihydriodide,315.93,2.544818,InChI=1S/C2H8N2.2HI/c3-1-2-4;;/h1-4H2;2*1H,organic,C(C[NH3+])[NH3+].[I-].[I-],C2H10I2N2
0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,2,5,1,5,1,1,1,2,1,5,1,2,0,3,0,28.97,5,0,10,1.67,15,20,7.48,2.91,3.18,4.07,4.07,6.06,6.88,6.06,17.26,101.96,30.65,163.99,89.55,62.03,19.26,144.73,62.81,25.56,JBOIAZWJIACNJF-UHFFFAOYSA-N,Imidazolium Iodide,ImidazoliumIodide,195.99,2.34327,"InChI=1S/C3H4N2.HI/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H",organic,C1=CN=C[NH2+]1.[I-],C3H5IN2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,4,3,5,7,32.08,7,4,22,2.68,52,108,12.87,3.28,5.19,5.66,5.66,10.09,13.6,10.09,24.96,57.48,55.11,308.89,232.97,251.42,64.81,244.08,126.21,44.72,JERSPYRKVMAEJY-UHFFFAOYSA-N,"N,N-dimethylpropane- 1,3-diammonium iodide",NNdimethylpropane13diammoniumiodide,358.01,2.053208,"InChI=1S/C5H14N2.2HI/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H",organic,C[NH+](C)CCC[NH3+].[I-].[I-],C5H16I2N2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,0,2,3,16.61,3,0,10,1.63,4,5,5.88,2.61,3.3,5.05,5.05,6.54,6.09,6.54,16.67,30.9,26.11,228.53,116.23,197.63,69.52,159.01,60.05,22.94,JMXLWMIFDJCGBV-UHFFFAOYSA-N,Dimethylammonium iodide,Me2NH2I,172.97,2.03749,"InChI=1S/C2H7N.HI/c1-3-2;/h3H,1-2H3;1H",organic,C[NH2+]C.[I-],C2H8IN
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,0,6,1,27.64,1,5,15,1.82,42,71,11.79,3.4,4.01,3.87,3.87,8.0,10.73,8.0,20.14,51.71,40.99,249.23,155.97,197.52,69.84,179.39,96.22,38.57,KFQARYBEAKAXIC-UHFFFAOYSA-N,Phenylammonium Iodide,PhenylammoniumIodide,221.04,1.888168,"InChI=1S/C6H7N.HI/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",organic,C1=CC=C(C=C1)[NH3+].[I-],C6H8IN
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,1,7,5,27.64,5,13,18,2.18,152,340,12.94,3.48,4.78,5.02,5.02,9.5,13.18,9.5,23.91,155.76,46.96,302.03,206.0,146.27,112.15,189.88,128.06,46.91,KOAGKPNEVYEZDU-UHFFFAOYSA-N,4-Trifluoromethyl-Phenylammonium iodide,4TrifluoromethylPhenylammoniumIodide,289.04,2.074383,"InChI=1S/C7H6F3N.HI/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],C7H7F3IN
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,1,7,3,27.64,3,9,18,1.94,90,187,13.28,3.37,4.92,5.21,5.21,9.78,12.74,9.78,24.13,78.32,46.04,279.65,193.91,201.33,93.91,185.74,118.01,43.98,LCTUISCIGMWMAT-UHFFFAOYSA-N,4-Fluoro-Benzylammonium iodide,4FluoroBenzylammoniumIodide,253.06,1.864177,"InChI=1S/C7H8FN.HI/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",organic,C1(=CC=C(C=C1)F)C[NH3+].[I-],C7H9FIN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,1,2,27.64,2,0,7,1.0,1,1,4.04,2.33,2.67,5.08,5.08,4.81,4.23,4.81,13.88,61.9,21.21,191.44,81.16,129.54,54.52,136.92,42.58,17.05,LLWRXQXPJMPHLR-UHFFFAOYSA-N,Methylammonium iodide,MeNH3I,158.97,2.341498,"InChI=1S/CH5N.HI/c1-2;/h2H2,1H3;1H",organic,C[NH3+].[I-],CH6IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,4,5,27.64,5,0,16,3.02,16,22,9.57,3.36,3.38,5.96,5.96,5.77,9.73,5.77,25.82,34.38,35.02,241.69,177.46,207.3,66.66,175.03,93.72,29.4,NLJDBTZLVTWXRG-UHFFFAOYSA-N,t-Butylammonium Iodide,tButylammoniumIodide,201.00,1.681204,"InChI=1S/C4H11N.HI/c1-4(2,3)5;/h5H2,1-3H3;1H",organic,CC(C)(C)[NH3+].[I-],C4H12IN
