mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__warm_start,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.062229037284851074,0.0003839731216430664,0.005994439125061035,0.00031125545501708984,False,10,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 10, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.43,0.53,0.48,0.05000000000000002,225,0.5548387096774193,0.6272189349112426,0.591028822294331,0.03619011261691163,221,0.7818181818181819,0.7681159420289855,0.7749670619235837,0.00685111989459819,88,0.5126226912516407,0.5695920899990122,0.5411073906253265,0.02848469937368575,1
0.3251478672027588,0.0058040618896484375,0.018194079399108887,0.00016701221466064453,False,60,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 60, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.4,0.42,0.41000000000000003,0.009999999999999981,249,0.5263157894736842,0.5526315789473685,0.5394736842105263,0.013157894736842146,252,0.7692307692307693,0.8076923076923077,0.7884615384615385,0.019230769230769218,56,0.48611342647168954,0.5187781911076178,0.5024458087896537,0.016332382317964134,190
0.6199619770050049,0.00047397613525390625,0.027767062187194824,0.00011909008026123047,False,110,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 110, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.44,0.41000000000000003,0.03,249,0.5066666666666666,0.5714285714285714,0.539047619047619,0.0323809523809524,253,0.76,0.8148148148148148,0.7874074074074073,0.02740740740740738,58,0.4679610198023514,0.5360015626355231,0.5019812912189372,0.03402027141658587,199
0.8987590074539185,0.005550980567932129,0.039370059967041016,0.0004432201385498047,False,160,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 160, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.41,0.5,0.45499999999999996,0.04500000000000001,227,0.5394736842105263,0.6134969325153374,0.5764853083629319,0.03701162415240555,227,0.7884615384615384,0.7936507936507936,0.791056166056166,0.0025946275946275854,46,0.5024458087896537,0.5647457944318195,0.5335958016107366,0.031149992821082884,7
1.1944938898086548,0.001459956169128418,0.04966700077056885,0.00041091442108154297,False,210,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 210, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.41,0.42,0.415,0.0050000000000000044,244,0.5394736842105263,0.5526315789473685,0.5460526315789473,0.006578947368421073,238,0.7884615384615384,0.8076923076923077,0.7980769230769231,0.009615384615384637,24,0.5024458087896537,0.5187781911076178,0.5106119999486358,0.008166191158982039,90
1.49070143699646,0.0031855106353759766,0.05866599082946777,0.0016760826110839844,False,260,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 260, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.38,0.45,0.41500000000000004,0.035,239,0.5170068027210885,0.5806451612903226,0.5488259820057055,0.03181917928461708,237,0.8085106382978723,0.8181818181818182,0.8133462282398453,0.004835589941972973,8,0.49118189586836336,0.5444891042663047,0.517835500067334,0.02665360419897067,35
1.7931636571884155,0.0012284517288208008,0.06932961940765381,0.0009285211563110352,False,310,10,3,9,,"{'model__warm_start': False, 'model__n_estimators': 310, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.4,0.38,0.39,0.010000000000000009,278,0.5298013245033113,0.5205479452054794,0.5251746348543953,0.004626689648915938,275,0.7843137254901961,0.8260869565217391,0.8052003410059676,0.020886615515771534,14,0.49356162201953796,0.49935052277324327,0.4964560723963906,0.002894450376852653,251
0.06619298458099365,0.0033990144729614258,0.00827944278717041,7.641315460205078e-05,False,10,7,3,9,,"{'model__warm_start': False, 'model__n_estimators': 10, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.4,0.41,0.405,0.004999999999999977,254,0.54421768707483,0.5394736842105263,0.5418456856426781,0.002372001432151827,246,0.851063829787234,0.7884615384615384,0.8197626841243862,0.03130114566284781,5,0.5253534109465787,0.5024458087896537,0.5138996098681162,0.0114538010784625,64
0.36076223850250244,0.0012685060501098633,0.020743727684020996,0.0013715028762817383,False,60,7,3,9,,"{'model__warm_start': False, 'model__n_estimators': 60, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.4,0.48,0.44,0.03999999999999998,230,0.5228758169934641,0.6,0.561437908496732,0.03856209150326795,231,0.7547169811320755,0.8,0.7773584905660378,0.02264150943396226,84,0.4788463903872236,0.5551307666372194,0.5169885785122215,0.038142188124997894,41
0.6383200883865356,0.004315018653869629,0.028667330741882324,0.00012052059173583984,False,110,7,3,9,,"{'model__warm_start': False, 'model__n_estimators': 110, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 9, 'model__class_weight': None}",0.41,0.42,0.415,0.0050000000000000044,244,0.5394736842105263,0.5454545454545454,0.5424641148325359,0.0029904306220095433,245,0.7884615384615384,0.7777777777777778,0.7831196581196581,0.005341880341880323,71,0.5024458087896537,0.503876881911261,0.5031613453504573,0.0007155365608036424,178
