mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__warm_start,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.44790518283843994,0.0039321184158325195,0.028835773468017578,0.0009038448333740234,False,100,10,3,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.13,0.09,0.11,0.020000000000000004,426,0.22033898305084748,0.16216216216216217,0.19125057260650483,0.029088410444342655,427,0.7222222222222222,0.8181818181818182,0.7702020202020202,0.04797979797979801,95,0.2532436851270606,0.23247437993292716,0.24285903252999386,0.01038465259706671,427
0.45062732696533203,0.007289409637451172,0.025778770446777344,0.0005035400390625,False,100,7,3,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.1,0.1,0.1,0.0,430,0.1754385964912281,0.17857142857142858,0.17700501253132833,0.0015664160401002436,431,0.7142857142857143,0.8333333333333334,0.7738095238095238,0.059523809523809534,87,0.2190737008026734,0.24898327938528603,0.23402849009397972,0.014954789291306309,431
0.45531392097473145,0.009567022323608398,0.02614903450012207,0.00015807151794433594,False,100,15,3,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.12,0.11,0.11499999999999999,0.0049999999999999975,424,0.20338983050847456,0.19819819819819817,0.20079401435333638,0.0025958161551381947,421,0.6666666666666666,1.0,0.8333333333333333,0.16666666666666669,11,0.22646437787382437,0.3005025971022399,0.26348348748803213,0.037019109614207776,419
0.45430421829223633,0.007826566696166992,0.0262601375579834,0.00015497207641601562,False,100,20,3,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.16,0.11,0.135,0.025,417,0.2601626016260163,0.19642857142857142,0.22829558652729387,0.03186701509872243,417,0.6956521739130435,0.9166666666666666,0.806159420289855,0.11050724637681159,33,0.2731836317044778,0.28158212111923586,0.2773828764118568,0.004199244707379035,417
0.45200610160827637,0.003268003463745117,0.03147900104522705,0.0010050535202026367,False,100,10,4,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__class_weight': None}",0.13,0.1,0.115,0.015,421,0.22033898305084748,0.17699115044247787,0.19866506674666268,0.021673916304184804,424,0.7222222222222222,0.7692307692307693,0.7457264957264957,0.023504273504273532,139,0.2532436851270606,0.2332853371725184,0.24326451114978948,0.009979173977271091,426
0.44870591163635254,0.000993967056274414,0.03133714199066162,0.0002530813217163086,False,100,7,4,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__class_weight': None}",0.14,0.07,0.10500000000000001,0.035,428,0.23529411764705885,0.12962962962962962,0.18246187363834424,0.05283224400871461,429,0.7368421052631579,0.875,0.805921052631579,0.06907894736842107,34,0.26769674804935084,0.21573426827883402,0.24171550816409243,0.02598123988525841,428
0.45015645027160645,0.0016384124755859375,0.028821587562561035,0.0023964643478393555,False,100,15,4,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__class_weight': None}",0.11,0.09,0.1,0.010000000000000002,430,0.18803418803418803,0.16363636363636364,0.17583527583527583,0.012198912198912198,432,0.6470588235294118,0.9,0.7735294117647059,0.1264705882352941,89,0.21068371512717185,0.2505917086129254,0.2306377118700486,0.019953996742876776,432
0.45121443271636963,0.00263059139251709,0.02572453022003174,0.00047338008880615234,False,100,20,4,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__class_weight': None}",0.13,0.12,0.125,0.0050000000000000044,418,0.21666666666666667,0.21052631578947367,0.21359649122807017,0.0030701754385965008,418,0.65,0.8571428571428571,0.7535714285714286,0.10357142857142854,132,0.23071738707102687,0.2795570921112376,0.2551372395911322,0.024419852520105353,421
0.471019983291626,0.009313106536865234,0.0338437557220459,0.0017571449279785156,False,100,10,5,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_depth': 4, 'model__class_weight': None}",0.13,0.1,0.115,0.015,421,0.2184873949579832,0.1801801801801802,0.1993337875690817,0.019153607388901497,423,0.6842105263157895,0.9090909090909091,0.7966507177033493,0.11244019138755978,41,0.24160504658943713,0.26648848851758355,0.25404676755351036,0.012441720964073213,422
0.4642103910446167,0.0009323358535766602,0.032438039779663086,0.0028181076049804688,False,100,7,5,4,,"{'model__warm_start': False, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 5, 'model__max_depth': 4, 'model__class_weight': None}",0.12,0.12,0.12,0.0,419,0.20168067226890754,0.21052631578947367,0.2061034940291906,0.004422821760283066,420,0.631578947368421,0.8571428571428571,0.744360902255639,0.11278195488721804,140,0.21551334512952341,0.2795570921112376,0.2475352186203805,0.03202187349085708,425
