mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__kernel,param_model__degree,param_model__class_weight,param_model__C,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.019661307334899902,5.257129669189453e-05,0.0,0.0,1,lineal,3,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'lineal', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61
6.103791952133179,0.04697990417480469,0.2708061933517456,0.0310899019241333,1,poly,3,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'poly', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.57,0.66,0.615,0.04500000000000004,40,0.45967741935483863,0.4800000000000001,0.46983870967741936,0.01016129032258073,40,0.38513513513513514,0.37714285714285717,0.38113899613899616,0.003996138996138987,60,0.3036185936778205,0.32870636300985595,0.31616247834383826,0.012543884666017718,40
6.015632390975952,0.004322528839111328,0.6891281604766846,0.010319948196411133,1,rbf,3,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'rbf', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.94,0.88,0.9099999999999999,0.02999999999999997,1,0.5662650602409639,0.5269461077844312,0.5466055840126975,0.01965947622826636,29,0.4051724137931034,0.37606837606837606,0.39062039493073974,0.01455201886236368,55,0.48035051471360457,0.41653151099964647,0.4484410128566255,0.03190950185697905,28
0.025936603546142578,0.00027561187744140625,0.0,0.0,1,lineal,4,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'lineal', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61
6.184806942939758,0.028478026390075684,0.16114258766174316,0.010472536087036133,1,poly,4,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'poly', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.49,0.53,0.51,0.020000000000000018,41,0.4434389140271493,0.4608695652173913,0.4521542396222703,0.008715325595121004,49,0.4049586776859504,0.4076923076923077,0.40632549268912904,0.0013668150031786452,10,0.2926578660253724,0.31096847008605855,0.30181316805571545,0.009155302030343065,49
6.057234883308411,0.026414036750793457,0.6660230159759521,0.0039179325103759766,1,rbf,4,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'rbf', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.94,0.88,0.9099999999999999,0.02999999999999997,1,0.5662650602409639,0.5269461077844312,0.5466055840126975,0.01965947622826636,29,0.4051724137931034,0.37606837606837606,0.39062039493073974,0.01455201886236368,55,0.48035051471360457,0.41653151099964647,0.4484410128566255,0.03190950185697905,28
0.030759453773498535,0.00018155574798583984,0.0,0.0,1,lineal,5,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'lineal', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61
6.050399422645569,0.03829848766326904,0.16236388683319092,0.03272998332977295,1,poly,5,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'poly', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.49,0.52,0.505,0.015000000000000013,49,0.4454545454545455,0.4444444444444445,0.444949494949495,0.0005050505050505083,57,0.4083333333333333,0.3880597014925373,0.3981965174129353,0.010136815920398001,42,0.29579016488508614,0.2878453765559883,0.2918177707205372,0.00397239416454892,58
6.04876708984375,0.024679899215698242,0.6612188816070557,0.014786958694458008,1,rbf,5,balanced,0.5,"{'model__random_state': 1, 'model__kernel': 'rbf', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.94,0.88,0.9099999999999999,0.02999999999999997,1,0.5662650602409639,0.5269461077844312,0.5466055840126975,0.01965947622826636,29,0.4051724137931034,0.37606837606837606,0.39062039493073974,0.01455201886236368,55,0.48035051471360457,0.41653151099964647,0.4484410128566255,0.03190950185697905,28
0.027511000633239746,0.0014411211013793945,0.0,0.0,1,lineal,3,balanced,0.55,"{'model__random_state': 1, 'model__kernel': 'lineal', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.55}",0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61
6.152763366699219,0.012306451797485352,0.135794997215271,0.0026949644088745117,1,poly,3,balanced,0.55,"{'model__random_state': 1, 'model__kernel': 'poly', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.55}",0.64,0.67,0.655,0.015000000000000013,39,0.4942084942084943,0.4768683274021353,0.4855384108053148,0.008670083403179485,39,0.4025157232704403,0.3701657458563536,0.3863407345633969,0.016174988707043342,59,0.34912469174370314,0.3242918809967452,0.3367082863702242,0.012416405373478961,39
