mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__random_state,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
3.7713048458099365,0.010565042495727539,0.013268589973449707,0.0015925168991088867,0.6,1,100,20,6,15,0.01,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__learning_rate': 0.01}",0.33,0.44,0.385,0.05499999999999999,160,0.4782608695652174,0.5751633986928104,0.526712134129014,0.0484512645637965,160,0.868421052631579,0.8301886792452831,0.849304865938431,0.019116186693147963,11,0.4802509288925422,0.5436277396060544,0.5119393342492983,0.0316884053567561,158
5.886101603507996,0.021524548530578613,0.012186408042907715,0.00016248226165771484,0.8,1,100,15,6,15,0.3,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__learning_rate': 0.3}",0.54,0.64,0.5900000000000001,0.04999999999999999,74,0.6000000000000001,0.6736842105263158,0.6368421052631579,0.03684210526315784,110,0.675,0.7111111111111111,0.6930555555555555,0.018055555555555547,163,0.5199008676880941,0.600136575686404,0.560018721687249,0.04011785399915496,119
6.310897588729858,0.023526430130004883,0.014570116996765137,0.0011180639266967773,0.6,1,100,7,3,20,0.01,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 20, 'model__learning_rate': 0.01}",0.36,0.48,0.42,0.06,147,0.5034965034965035,0.6075949367088608,0.5555457201026821,0.05204921660617862,148,0.8372093023255814,0.8275862068965517,0.8323977546110666,0.004811547714514863,23,0.48973916660698646,0.5694936180442793,0.529616392325633,0.039877225718646436,146
6.069486498832703,0.007881522178649902,0.012357473373413086,0.0002014636993408203,0.8,1,100,10,6,15,0.3,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__learning_rate': 0.3}",0.54,0.68,0.6100000000000001,0.07,12,0.5934065934065934,0.6974358974358974,0.6454212454212453,0.052014652014651996,86,0.6585365853658537,0.7157894736842105,0.6871630295250322,0.02862644415917842,167,0.509427802185061,0.6259458798008126,0.5676868409929368,0.05825903880787581,109
9.080483078956604,0.19466888904571533,0.018529891967773438,0.0001850128173828125,0.8,1,100,7,3,20,0.2,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 3, 'model__max_depth': 20, 'model__learning_rate': 0.2}",0.56,0.65,0.605,0.04499999999999999,22,0.6086956521739131,0.6914893617021277,0.6500925069380203,0.041396854764107316,69,0.6666666666666666,0.7386363636363636,0.7026515151515151,0.03598484848484851,151,0.5259184427365219,0.623703348955667,0.5748108958460945,0.048892453109572576,84
3.9588154554367065,0.002949357032775879,0.012184977531433105,0.0004919767379760742,0.6,1,100,20,6,20,0.01,"{'model__subsample': 0.6, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 6, 'model__max_depth': 20, 'model__learning_rate': 0.01}",0.35,0.46,0.405,0.05500000000000002,153,0.4999999999999999,0.5935483870967742,0.546774193548387,0.04677419354838713,154,0.875,0.8363636363636363,0.8556818181818182,0.019318181818181845,6,0.4986160039448977,0.5604223107736366,0.5295191573592671,0.030903153414369444,147
6.400208592414856,0.014470458030700684,0.01374506950378418,0.0003781318664550781,0.8,1,100,10,3,15,0.01,"{'model__subsample': 0.8, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 15, 'model__learning_rate': 0.01}",0.38,0.5,0.44,0.06,141,0.5205479452054794,0.6211180124223602,0.5708329788139198,0.05028503360844039,141,0.8260869565217391,0.819672131147541,0.8228795438346401,0.003207412687099065,28,0.49935052277324327,0.5786401283102645,0.5389953255417539,0.039644802768510595,138
6.986691474914551,0.009186506271362305,0.012621521949768066,0.0007065534591674805,1,1,100,15,6,15,0.3,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__learning_rate': 0.3}",0.57,0.63,0.6,0.030000000000000027,43,0.6368715083798882,0.6885245901639344,0.6626980492719112,0.02582654089202313,22,0.7215189873417721,0.7590361445783133,0.7402775659600427,0.01875857861827057,65,0.5662439810302146,0.6248244933607427,0.5955342371954786,0.029290256165264095,20
6.497719049453735,0.1097111701965332,0.013276338577270508,0.0001595020294189453,1,1,100,7,6,15,0.01,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_depth': 15, 'model__learning_rate': 0.01}",0.46,0.52,0.49,0.03,132,0.5859872611464968,0.6380368098159509,0.6120120354812238,0.026024774334727052,131,0.8070175438596491,0.8253968253968254,0.8162071846282373,0.009189640768588136,30,0.545546294491162,0.5947867225544755,0.5701665085228187,0.024620214031656762,102
5.363496422767639,0.004859328269958496,0.06024515628814697,0.0020760297775268555,1,1,100,10,3,10,0.2,"{'model__subsample': 1, 'model__random_state': 1, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_depth': 10, 'model__learning_rate': 0.2}",0.54,0.64,0.5900000000000001,0.04999999999999999,74,0.6136363636363636,0.6956521739130435,0.6546442687747036,0.041007905138339906,49,0.7105263157894737,0.7619047619047619,0.7362155388471178,0.025689223057644095,74,0.5418608359524797,0.6325292044724169,0.5871950202124483,0.0453341842599686,41
