tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_macro,f1_weighted,matthew
51,16,8,0,0.1,0.25,0.68,0.4322033898305085,0.68,0.3805970149253731,0.40476190476190477,0.7231746031746032,-0.17994574329144983
55,12,6,2,0.1,0.25,0.76,0.522248243559719,0.76,0.5354477611940298,0.5205965909090909,0.7871022727272728,0.056165841031414476
57,14,4,0,0.1,0.25,0.76,0.4672131147540984,0.76,0.4014084507042254,0.43181818181818177,0.8175757575757575,-0.11371033045376691
52,13,7,3,0.1,0.25,0.7333333333333333,0.5344279661016949,0.7333333333333333,0.55,0.5347394540942928,0.7576509511993382,0.08297947469307686
54,9,5,7,0.1,0.25,0.8133333333333334,0.6763771186440678,0.8133333333333334,0.7202380952380952,0.6926229508196722,0.8236065573770492,0.3941824991232007
55,12,4,4,0.1,0.25,0.7866666666666666,0.5911016949152542,0.7866666666666666,0.6604477611940298,0.6031746031746031,0.8154497354497354,0.24180209254788573
56,13,3,3,0.1,0.25,0.7866666666666666,0.5683262711864407,0.7866666666666666,0.6557971014492754,0.5738636363636362,0.8268181818181817,0.2063495578254007
57,14,2,2,0.1,0.25,0.7866666666666666,0.5455508474576272,0.7866666666666666,0.6514084507042254,0.5384615384615385,0.840820512820513,0.16609374752619466
52,11,7,5,0.1,0.25,0.76,0.5969279661016949,0.76,0.621031746031746,0.6048009367681498,0.7732084309133489,0.21662281483347065
53,12,8,2,0.1,0.25,0.7333333333333333,0.5058548009367682,0.7333333333333333,0.5076923076923077,0.503968253968254,0.7513227513227512,0.013421911977483972
53,12,8,2,0.1,0.25,0.7333333333333333,0.5058548009367682,0.7333333333333333,0.5076923076923077,0.503968253968254,0.7513227513227512,0.013421911977483972
56,15,3,1,0.1,0.25,0.76,0.5058262711864407,0.76,0.5193661971830985,0.4807692307692308,0.820923076923077,0.021244549102187687
54,15,5,1,0.1,0.25,0.7333333333333333,0.4888771186440678,0.7333333333333333,0.4746376811594203,0.4673295454545454,0.7835227272727272,-0.033591788483204765
51,12,8,4,0.1,0.25,0.7333333333333333,0.5572033898305084,0.7333333333333333,0.5714285714285714,0.5608899297423888,0.748009367681499,0.12784297268860562
53,14,6,2,0.1,0.25,0.7333333333333333,0.5116525423728814,0.7333333333333333,0.5205223880597014,0.503968253968254,0.7693121693121693,0.030928174628217942
56,13,3,3,0.1,0.25,0.7866666666666666,0.5683262711864407,0.7866666666666666,0.6557971014492754,0.5738636363636362,0.8268181818181817,0.2063495578254007
54,13,5,3,0.1,0.25,0.76,0.5513771186440678,0.76,0.5904850746268657,0.5535714285714286,0.7923809523809524,0.13636513358805183
53,14,6,2,0.1,0.25,0.7333333333333333,0.5116525423728814,0.7333333333333333,0.5205223880597014,0.503968253968254,0.7693121693121693,0.030928174628217942
49,14,10,2,0.1,0.25,0.68,0.4777542372881356,0.68,0.4722222222222222,0.47306791569086654,0.6976112412177986,-0.04971671160112441
54,13,7,1,0.1,0.25,0.7333333333333333,0.4783372365339578,0.7333333333333333,0.46548507462686567,0.46732954545454547,0.7634469696969697,-0.05468779258321936
54,11,5,5,0.1,0.25,0.7866666666666666,0.6138771186440678,0.7866666666666666,0.6653846153846155,0.6277915632754343,0.8061207609594708,0.27447057013863885
52,11,9,3,0.1,0.25,0.7333333333333333,0.5333723653395784,0.7333333333333333,0.5376984126984127,0.5347394540942928,0.741439205955335,0.07093899354497869
56,13,3,3,0.1,0.25,0.7866666666666666,0.5683262711864407,0.7866666666666666,0.6557971014492754,0.5738636363636362,0.8268181818181817,0.2063495578254007
48,13,11,3,0.1,0.25,0.68,0.5005296610169492,0.68,0.5005854800936768,0.5,0.6880000000000001,0.0011137432052683363
51,14,8,2,0.1,0.25,0.7066666666666667,0.4947033898305085,0.7066666666666667,0.49230769230769234,0.4882133995037221,0.7334160463192722,-0.012766073029704133
56,13,5,1,0.1,0.25,0.76,0.49473067915690866,0.76,0.4891304347826087,0.4807692307692308,0.8006153846153846,-0.015136079618625242
54,11,7,3,0.1,0.25,0.76,0.5497658079625293,0.76,0.5653846153846154,0.5535714285714286,0.7761904761904762,0.11408625180861376
54,13,5,3,0.1,0.25,0.76,0.5513771186440678,0.76,0.5904850746268657,0.5535714285714286,0.7923809523809524,0.13636513358805183
51,12,10,2,0.1,0.25,0.7066666666666667,0.4894613583138173,0.7066666666666667,0.4880952380952381,0.4882133995037221,0.7155831265508685,-0.02240178743525643
52,11,9,3,0.1,0.25,0.7333333333333333,0.5333723653395784,0.7333333333333333,0.5376984126984127,0.5347394540942928,0.741439205955335,0.07093899354497869
59,8,2,6,0.1,0.25,0.8666666666666667,0.6978922716627635,0.8666666666666667,0.8152985074626866,0.7336647727272727,0.8817234848484848,0.4995803754899498
52,13,9,1,0.1,0.25,0.7066666666666667,0.461943793911007,0.7066666666666667,0.45,0.45436507936507936,0.7264550264550264,-0.08724242785364582
56,11,5,3,0.1,0.25,0.7866666666666666,0.5661592505854801,0.7866666666666666,0.605410447761194,0.5738636363636364,0.8107575757575757,0.16701947464604833
54,13,5,3,0.1,0.25,0.76,0.5513771186440678,0.76,0.5904850746268657,0.5535714285714286,0.7923809523809524,0.13636513358805183
56,15,3,1,0.1,0.25,0.76,0.5058262711864407,0.76,0.5193661971830985,0.4807692307692308,0.820923076923077,0.021244549102187687
48,15,11,1,0.1,0.25,0.6533333333333333,0.4380296610169492,0.6533333333333333,0.4226190476190476,0.42915690866510536,0.6724121779859484,-0.13849655374598943
56,11,3,5,0.1,0.25,0.8133333333333334,0.6308262711864407,0.8133333333333334,0.730410447761194,0.6527777777777778,0.8385185185185186,0.3472390515077196
54,15,5,1,0.1,0.25,0.7333333333333333,0.4888771186440678,0.7333333333333333,0.4746376811594203,0.4673295454545454,0.7835227272727272,-0.033591788483204765
58,13,1,3,0.1,0.25,0.8133333333333334,0.5852754237288136,0.8133333333333334,0.7834507042253521,0.5961538461538461,0.8607179487179487,0.3109429459502016
57,12,4,2,0.1,0.25,0.7866666666666666,0.5386416861826698,0.7866666666666666,0.5797101449275363,0.5384615384615384,0.8227692307692308,0.11099791720325176
60,13,1,1,0.1,0.25,0.8133333333333334,0.5275175644028103,0.8133333333333334,0.660958904109589,0.5102611940298507,0.8749751243781094,0.13310442532149538
59,12,2,2,0.1,0.25,0.8133333333333334,0.5550351288056206,0.8133333333333334,0.6654929577464789,0.5580808080808081,0.858114478114478,0.19087091183310875
58,11,3,3,0.1,0.25,0.8133333333333334,0.5825526932084308,0.8133333333333334,0.6702898550724637,0.5961538461538461,0.8449230769230768,0.2371319140251288
55,12,6,2,0.1,0.25,0.76,0.522248243559719,0.76,0.5354477611940298,0.5205965909090909,0.7871022727272728,0.056165841031414476
57,10,4,4,0.1,0.25,0.8133333333333334,0.6100702576112412,0.8133333333333334,0.6753731343283582,0.6271306818181819,0.8344128787878788,0.2778731082606822
50,13,11,1,0.1,0.25,0.68,0.4455503512880562,0.68,0.4384920634920635,0.44168734491315137,0.689727047146402,-0.11574256841549155
57,8,4,6,0.1,0.25,0.84,0.6814988290398126,0.84,0.7384615384615385,0.7023809523809524,0.8507936507936509,0.4160792713020031
56,15,3,1,0.1,0.25,0.76,0.5058262711864407,0.76,0.5193661971830985,0.4807692307692308,0.820923076923077,0.021244549102187687
56,11,3,5,0.1,0.25,0.8133333333333334,0.6308262711864407,0.8133333333333334,0.730410447761194,0.6527777777777778,0.8385185185185186,0.3472390515077196
53,12,8,2,0.1,0.25,0.7333333333333333,0.5058548009367682,0.7333333333333333,0.5076923076923077,0.503968253968254,0.7513227513227512,0.013421911977483972
55,12,6,2,0.1,0.25,0.76,0.522248243559719,0.76,0.5354477611940298,0.5205965909090909,0.7871022727272728,0.056165841031414476
51,12,10,2,0.1,0.25,0.7066666666666667,0.4894613583138173,0.7066666666666667,0.4880952380952381,0.4882133995037221,0.7155831265508685,-0.02240178743525643
