precision,recall,f1-score,support
0.87,0.9645232815964523,0.9148264984227129,902.0
0.744,0.4170403587443946,0.5344827586206896,223.0
0.856,0.856,0.856,0.856
0.8069999999999999,0.6907818201704234,0.7246546285217013,1125.0
0.845024,0.856,0.8394339171108453,1125.0
